﻿Codi Província;Nom Província;Codi Vegueria;Nom Vegueria;Codi Comarca;Nom Comarca;Codi Municipi;Nom Municipi;Districte;Secció;Població;Cens;Participació 14:00;Participació 18:00;Participació 20:00;Abstenció;Vots nuls;Vots en blanc;Vots a candidatures;Vots vàlids
8;Barcelona;1;Barcelona;21;Maresme;08009;Argentona;1;6;;1647;619;888;1140;507;6;24;1110;1134
8;Barcelona;1;Barcelona;21;Maresme;08009;Argentona;2;1;;958;356;503;629;329;4;9;616;625
8;Barcelona;1;Barcelona;21;Maresme;08009;Argentona;2;2;;1081;436;596;726;355;11;14;701;715
8;Barcelona;1;Barcelona;21;Maresme;08009;Argentona;2;3;;982;407;564;705;277;3;21;681;702
17;Girona;3;Girona;2;Alt Empordà;17011;Armentera, l';1;1;;664;245;397;477;187;43;105;329;434
43;Tarragona;7;Terres de l'Ebre;37;Terra Alta;43018;Arnes;1;1;;385;223;311;355;30;4;0;351;351
25;Lleida;5;Alt Pirineu i territori d'Aran;39;Consell General d'Aran;25031;Arres;1;1;;61;18;20;53;8;1;0;52;52
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25032;Arsèguel;1;1;;64;22;31;47;17;0;0;47;47
8;Barcelona;2;Catalunya Central;7;Bages;08010;Artés;1;1;;1032;375;549;703;329;15;18;670;688
8;Barcelona;2;Catalunya Central;7;Bages;08010;Artés;2;1;;1192;436;643;838;354;7;18;813;831
8;Barcelona;2;Catalunya Central;7;Bages;08010;Artés;2;2;;671;220;367;446;225;2;11;433;444
8;Barcelona;2;Catalunya Central;7;Bages;08010;Artés;2;3;;1333;475;767;983;350;25;26;932;958
25;Lleida;4;Lleida;33;Segrià;25033;Artesa de Lleida;1;1;;1124;554;745;907;217;18;14;875;889
25;Lleida;4;Lleida;23;Noguera;25034;Artesa de Segre;1;1;;1353;566;809;998;355;11;44;943;987
25;Lleida;4;Lleida;23;Noguera;25034;Artesa de Segre;1;2;;956;368;550;679;277;9;14;656;670
43;Tarragona;7;Terres de l'Ebre;30;Ribera d'Ebre;43019;Ascó;1;1;;1349;594;891;1134;215;23;8;1103;1111
25;Lleida;4;Lleida;33;Segrià;25036;Aspa;1;1;;184;79;120;152;32;5;1;146;147
25;Lleida;4;Lleida;23;Noguera;25037;Avellanes i Santa Linya, les;1;1;;370;172;242;312;58;5;9;298;307
8;Barcelona;2;Catalunya Central;14;Berguedà;08011;Avià;1;1;;1748;694;1058;1363;385;23;39;1301;1340
8;Barcelona;2;Catalunya Central;7;Bages;08012;Avinyó;1;1;;1732;682;1020;1249;483;54;61;1134;1195
8;Barcelona;8;Penedès;3;Alt Penedès;08013;Avinyonet del Penedès;1;1;;1292;629;829;986;306;8;27;951;978
17;Girona;3;Girona;2;Alt Empordà;17012;Avinyonet de Puigventós;1;1;;1194;356;568;749;445;5;37;707;744
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;1;1;;1170;479;707;921;249;3;9;909;918
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;1;2;;978;424;589;715;263;2;9;704;713
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;1;3;;812;328;481;598;214;3;7;588;595
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;1;4;;1154;498;705;900;254;2;5;893;898
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;1;5;;1174;498;739;899;275;3;4;892;896
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;1;7;;1009;435;581;752;257;2;8;742;750
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;2;1;;1022;409;549;676;346;2;8;666;674
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;2;10;;1054;338;457;597;457;1;8;588;596
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;2;11;;1167;420;592;715;452;0;2;713;715
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;2;12;;805;280;385;485;320;0;0;485;485
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;2;13;;842;321;423;506;336;0;2;504;506
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;2;15;;757;264;359;442;315;0;3;439;442
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;2;2;;1376;619;857;1072;304;4;5;1063;1068
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;2;3;;723;290;429;544;179;1;6;537;543
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;2;4;;1639;655;962;1217;422;3;12;1202;1214
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;2;5;;931;338;430;553;378;2;0;551;551
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;2;7;;881;301;433;514;367;0;3;511;514
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;2;8;;1783;725;1058;1335;448;3;2;1330;1332
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;2;9;;751;209;310;368;383;0;0;368;368
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;3;1;;1823;655;980;1239;584;5;10;1224;1234
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;3;10;;703;308;419;527;176;1;2;524;526
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;3;11;;942;341;516;667;275;0;5;662;667
8;Barcelona;1;Barcelona;13;Barcelonès;08015;Badalona;3;13;;1151;426;678;863;288;1;3;859;862
